Timestamp,X,Y,Z,Left_X,Left_Y,Left_Z,Left_ROLL,Left_YAW,Left_PITCH,Right_X,Right_Y,Right_Z,Right_ROLL,Right_YAW,Right_PITCH
0.76,0.0060100034216558,-0.0815821432208513,0.55,0.000821227428672577,0.1262158855,0.00982630570595585,0,0,0.119384443479728,-0.0005451135,-0.144664858,0,0,0,0
0.77,0.00639161940957471,-0.0837127033139577,0.55,0.0015823591,0.1262158855,0.01296,0,0,0.311213991769547,-0.0005451135,-0.144664858,0,0,0,0
0.78,0.00678902478728199,-0.0857057158546119,0.55,0.00256364903871601,0.1262158855,0.0163942357351104,0,0,0.627528708276313,-0.0005451135,-0.144664858,0,0,0,0
0.79,0.00720278172423393,-0.0875674378151451,0.55,0.00378374126219432,0.1262158855,0.0200850312369846,0,0,1.08544374269882,-0.0005451135,-0.144664858,0,0,0,0
0.8,0.00763348541726028,-0.0893043691212998,0.55,0.00525838813552091,0.1262158855,0.0239900041649313,0,0,1.6948462158502,-0.0005451135,-0.144664858,0,0,0,0
0.81,0.00808176904176217,-0.0909221700477663,0.55,0.0070005574697269,0.1262158855,0.0280683715118701,0,0,2.45898286428274,-0.0005451135,-0.144664858,0,0,0,0
0.82,0.00854830533814442,-0.0924254906226534,0.55,0.00902053962002142,0.1262158855,0.0322809496043315,0,0,3.37504768491279,-0.0005451135,-0.144664858,0,0,0,0
0.83,0.00903380688542345,-0.0938181678265435,0.55,0.0113260545840245,0.1262158855,0.0365901541024573,0,0,4.43476957964556,-0.0005451135,-0.144664858,0,0,0,0
0.84,0.00953902621283573,-0.0951034855536728,0.55,0.0139223591,0.1262158855,0.04096,0,0,5.625,-0.0005451135,-0.144664858,0,0,0,0
0.85,0.010064756219043,-0.096284373130463,0.55,0.0168123537450884,0.1262158855,0.0453561016243232,0,0,6.92830059173365,-0.0005451135,-0.144664858,0,0,0,0
0.86,0.0106118309844838,-0.097363520146837,0.55,0.0199966900335396,0.1262158855,0.0497456726364015,0,0,8.32353083946749,-0.0005451135,-0.144664858,0,0,0,0
0.87,0.0111811269047479,-0.098343427240973,0.55,0.0234738775149462,0.1262158855,0.0540975260308205,0,0,9.78643571131076,-0.0005451135,-0.144664858,0,0,0,0
0.88,0.0117735640435741,-0.0992264202881465,0.55,0.0272403908724757,0.1262158855,0.0583820741357768,0,0,11.2902333034859,-0.0005451135,-0.144664858,0,0,0,0
0.89,0.0123901076280123,-0.100014649134637,0.55,0.0312907770211043,0.1262158855,0.0625713286130779,0,0,12.8062024849532,-0.0005451135,-0.144664858,0,0,0,0
0.9,0.0130317696425215,-0.100710082974658,0.55,0.0356177622058488,0.1262158855,0.0666389004581424,0,0,14.3042705420361,-0.0005451135,-0.144664858,0,0,0,0
0.91,0.0136996105053914,-0.101314507450302,0.55,0.0402123591,0.1262158855,0.07056,0,0,15.7536008230453,-0.0005451135,-0.144664858,0,0,0,0
0.92,0.0143947408262625,-0.101829524515808,0.55,0.0450639739033557,0.1262158855,0.0743114369012911,0,0,17.1231803829043,-0.0005451135,-0.144664858,0,0,0,0
0.93,0.0151183232501292,-0.102256554398903,0.55,0.0501605134404534,0.1262158855,0.0778716201582674,0,0,18.3824076277741,-0.0005451135,-0.144664858,0,0,0,0
0.94,0.0158715743947491,-0.102596838632389,0.55,0.0554884922588029,0.1262158855,0.0812205581007913,0,0,19.5016799596778,-0.0005451135,-0.144664858,0,0,0,0
0.95,0.0166557668877514,-0.102851443344638,0.55,0.0610331397271197,0.1262158855,0.0843398583923365,0,0,20.4529814211255,-0.0005451135,-0.144664858,0,0,0,0
0.96,0.0174722315086449,-0.103021262337869,0.55,0.0667785071335574,0.1262158855,0.0872127280299875,0,0,21.2104703397394,-0.0005451135,-0.144664858,0,0,0,0
0.97,0.0183223594400997,-0.103107019754285,0.55,0.0727075747839412,0.1262158855,0.0898239733444398,0,0,21.7510669728785,-0.0005451135,-0.144664858,0,0,0,0
0.98,0.0192076046324798,-0.103109272289134,0.55,0.0788023591,0.1262158855,0.09216,0,0,22.0550411522634,-0.0005451135,-0.144664858,0,0,0,0
0.99,0.0201294862855485,-0.103028410978522,0.55,0.0850440197175998,0.1262158855,0.0942088129945856,0,0,22.1065999286012,-0.0005451135,-0.144664858,0,0,0,0
1,0.0210895914514275,-0.102864662605275,0.55,0.0914129665849765,0.1262158855,0.0959600166597251,0,0,21.8944752162104,-0.0005451135,-0.144664858,0,0,0,0
1.01,0.0220895777631376,-0.102618090758256,0.55,0.0978889670609686,0.1262158855,0.0974048146605581,0,0,21.4125114376457,-0.0005451135,-0.144664858,0,0,0,0
1.02,0.0231311762933317,-0.10228859656711,0.55,0.10445125301325,0.1262158855,0.0985360099958351,0,0,20.6602531683227,-0.0005451135,-0.144664858,0,0,0,0
1.03,0.0242161945481121,-0.101875919123275,0.55,0.111078627916565,0.1262158855,0.0993480049979175,0,0,19.6435327811433,-0.0005451135,-0.144664858,0,0,0,0
1.04,0.0253465196011087,-0.101379635591163,0.55,0.117749573950955,0.1262158855,0.099836801332778,0,0,18.3750580911196,-0.0005451135,-0.144664858,0,0,0,0
1.05,0.0265241213732821,-0.100799161009974,0.55,0.1244423591,0.1262158855,0.1,0,0,16.875,-0.0005451135,-0.144664858,0,0,0,0
1.06,0.0277510560642192,-0.100133747785265,0.55,0.131135144249045,0.1262158855,0.099836801332778,0,0,15.1715801408927,-0.0005451135,-0.144664858,0,0,0,0
